id,Status,Title,Issue Link,PR or Commit Link,Trigger,Symptom,Cause (sub-category),Cause (high-level),Fix Pattern
1,Closed,Incorrect (outdated?) `fetch_all_dependencies` config suggestion,https://github.com/mozilla/cbindgen/issues/936,,Dependent Crate;Tool Configuration Option,Crash,Unexpected Warning,TBE,
2,Closed,Code generated from u64 bitflags may have undefined behavior,https://github.com/mozilla/cbindgen/issues/849,,Primitive Datatype,Crash,Overflow Error,MEM,
3,Open,Field has incomplete type for recursive types definitions (declaration order),https://github.com/mozilla/cbindgen/issues/832,,Struct;Type Alias,Compilation Error,Missing Type Definition;Incorrect Declaration Order,INC;UFC,
4,Closed,Rust's `char` is not guaranteed to be ABI-compatible with C++'s `uint32_t`,https://github.com/mozilla/cbindgen/issues/814,,Primitive Datatype,Incorrect output,Unsafe FFI,USC,
5,Closed,`cbindgen:prefix-with-name=false` comment does not override toml value `enum.prefix_with_name=true`,https://github.com/mozilla/cbindgen/issues/808,https://github.com/mozilla/cbindgen/pull/1006,Tool Configuration Option;Enum,Incorrect output,Misbehaving Configuration Option,TBE,Mutate Condition in if
6,Closed,export.mangle remove_underscores not respected for enums,https://github.com/mozilla/cbindgen/issues/705,https://github.com/mozilla/cbindgen/commit/cbd4260bdc5c3ce50dd7ff14cb7c175e3f9544ad,Tool Configuration Option;Enum,Incorrect output,Misbehaving Configuration Option,TBE,
7,Closed,Fails to parse `cast` crate,https://github.com/mozilla/cbindgen/issues/665,,Dependent Crate;Tool Configuration Option,Crash,Version Compatibility Issue;Crate/Module Parsing Failure,CPI;IMRE,
8,Closed,A better error message for unsupported unnamed parameters,https://github.com/mozilla/cbindgen/issues/543,https://github.com/mozilla/cbindgen/pull/550,Function;Primitive Datatype,Compilation Error,Missing Function Definition,INC,
9,Closed,"Broken self-referencing structs with C mode and style=""type""",https://github.com/mozilla/cbindgen/issues/533,https://github.com/mozilla/cbindgen/pull/615,Struct;Tool Configuration Option,Compilation Error,,,Mutate method chain;Mutate condition
10,Closed,cbindgen should not map [type; N] function args,https://github.com/mozilla/cbindgen/issues/528,https://github.com/mozilla/cbindgen/pull/540,Function;Array,Compilation Error,Incorrect Function Signature,UFC,Guard clause
